Sec	mm	kN
18.680664	-0.83556634	-71.337013
18.780273	-0.84506142	-71.108124
18.879883	-0.84506142	-72.862938
18.979492	-0.89253676	-73.587753
19.079102	-0.88304168	-73.702202
19.178711	-0.89253676	-74.808495
19.27832	-0.84506142	-74.96109
19.37793	-0.921022	-76.487015
19.477539	-0.88304168	-76.563309
19.577148	-0.99698257	-77.936646
19.676758	-0.90203184	-77.78405
19.776367	-0.93051708	-78.775902
19.875977	-0.99698257	-80.26368
19.975586	-0.95900226	-80.530716
20.075195	-0.96849734	-81.064789
20.174805	-0.98748749	-82.056641
0.15136719	-0.94001216	-78.35627
0.25097656	-0.94950718	-78.165535
0.35058594	-1.0064776	-77.249977
0.45019531	-0.98748749	-75.991089
0.54980469	-0.93051708	-74.541458
0.64941406	-0.98748749	-73.091827
0.74902344	-0.94001216	-72.252571
0.84863281	-0.96849734	-71.527756
0.94824219	-0.93051708	-69.849236
1.0478516	-0.84506142	-69.811089
1.1474609	-0.94950718	-69.12442
1.2470703	-0.89253676	-67.10257
1.3466797	-0.93051708	-66.682945
1.4462891	-0.88304168	-65.195168
1.5458984	-0.86405158	-64.317757
1.6455078	-0.79758608	-63.70739
1.7451172	-0.84506142	-62.677387
1.8447266	-0.82607126	-62.257759
1.9443359	-0.788091	-60.502945
2.0439453	-0.77859592	-60.197762
2.1435547	-0.82607126	-58.36665
2.2431641	-0.75960577	-57.489243
2.3427734	-0.79758608	-56.764427
2.4423828	-0.788091	-55.162205
2.5419922	-0.788091	-55.009613
2.6416016	-0.72162551	-53.483688
2.7412109	-0.71213043	-53.788872
2.8408203	-0.76910084	-51.957764
2.9404297	-0.75960577	-50.54628
3.0400391	-0.74061567	-50.241096
3.1396484	-0.73112059	-49.020355
3.2392578	-0.67415017	-47.151096
3.3388672	-0.66465509	-47.570728
3.4384766	-0.70263535	-46.807762
3.5380859	-0.68364519	-45.510727
3.6376953	-0.67415017	-44.63332
3.7373047	-0.65516001	-44.022949
3.8369141	-0.61717969	-42.15369
3.9365234	-0.71213043	-41.047394
4.0361328	-0.56020927	-40.932949
4.1357422	-0.56020927	-39.06369
4.2353516	-0.56020927	-37.842953
4.3349609	-0.59818959	-37.728508
4.4345703	-0.61717969	-35.554062
4.5341797	-0.49374378	-35.592213
4.6337891	-0.54121917	-34.524063
4.7333984	-0.5317241	-33.37962
4.8330078	-0.60768467	-32.158878
4.9326172	-0.45576352	-30.442213
5.0322266	-0.51273394	-30.671103
5.1318359	-0.50323886	-29.374065
5.2314453	-0.51273394	-27.657398
5.3310547	-0.52222902	-26.741844
5.4306641	-0.46525857	-25.482956
5.5302734	-0.46525857	-24.224068
5.6298828	-0.45576352	-23.041475
5.7294922	-0.41778323	-22.812586
5.8291016	-0.42727828	-21.591845
5.9287109	-0.39879307	-19.64629
6.0283203	-0.45576352	-19.035921
6.1279297	-0.44626844	-17.738884
6.2275391	-0.38929802	-17.39555
6.3271484	-0.41778323	-16.327402
6.4267578	-0.36081278	-14.648885
6.5263672	-0.36081278	-14.191107
6.6259766	-0.36081278	-12.321848
6.7255859	-0.30384237	-11.520738
6.8251953	-0.33232757	-10.223701
6.9248047	-0.32283252	-8.201849
7.0244141	-0.36081278	-8.3162937
7.1240234	-0.33232757	-6.7522202
7.2236328	-0.33232757	-5.2644429
7.3232422	-0.28485224	-4.4633322
7.4228516	-0.25636703	-3.3570359
7.5224609	-0.24687195	-3.1662953
7.6220703	-0.24687195	-1.2588885
7.7216797	-0.25636703	-0.57222199
7.8212891	-0.23737687	0.30518517
7.9208984	-0.19939658	2.5177772
8.0205078	-0.26586208	2.7848141
8.1201172	-0.2278818	4.0818505
8.2197266	-0.2278818	5.4170356
8.3193359	-0.13293108	6.1799984
8.4189453	-0.17091137	7.0955534
8.5185547	-0.14242616	8.6627245
8.6181641	-0.13293108	9.619194
8.7177734	-0.18040645	9.3896418
8.8173828	-0.14242616	10.690439
8.9169922	-0.094950803	12.718154
9.0166016	-0.075960666	12.871189
9.1162109	-0.10444587	13.559847
9.2158203	-0.13293108	14.248505
9.3154297	-0.10444587	15.281491
9.4150391	-0.037980378	16.697065
9.5146484	-0.11394095	16.697065
9.6142578	-0.056970522	18.227417
9.7138672	-0.056970522	18.150898
9.8134766	-0.085455731	19.757767
9.9130859	-9.3946397e-08	21.249859
10.012695	-9.3946397e-08	21.135082
10.112305	0.018990049	22.550657
10.211914	-0.028485307	23.69842
10.311523	0.018990049	24.999218
10.411133	0.066465408	26.032206
10.510742	-9.3946397e-08	26.338274
10.610352	-9.3946397e-08	27.983402
10.709961	0.037980191	28.36599
10.80957	0.066465408	29.705046
10.90918	0.075960472	32.115349
11.008789	0.15192105	31.771019
11.108398	0.018990049	32.689232
11.208008	0.075960472	34.487392
11.307617	0.11394076	35.749931
11.407227	0.12343583	36.859436
11.506836	0.094950616	36.744659
11.606445	0.17091119	38.581081
11.706055	0.14242597	38.236752
11.805664	0.11394076	39.881878
11.905273	0.18040626	41.7183
12.004883	0.17091119	42.024368
12.104492	0.18990132	42.292179
12.204102	0.18990132	43.669495
12.303711	0.16141611	44.970295
12.40332	0.25636682	45.276363
12.50293	0.23737669	46.34761
12.602539	0.2658619	48.528358
12.702148	0.21838655	48.145771
12.801758	0.24687175	49.982193
12.901367	0.24687175	51.627319
13.000977	0.30384219	51.971649
13.100586	0.28485203	53.234188
13.200195	0.22788161	54.649761
13.299805	0.27535698	55.950562
13.399414	0.29434711	57.2131
13.499023	0.35131752	58.437382
13.598633	0.37030768	60.159023
13.698242	0.31333727	59.891212
13.797852	0.35131752	60.96246
13.897461	0.37030768	63.525795
13.99707	0.40828797	63.831867
14.09668	0.39879289	65.515251
14.196289	0.37980276	66.624756
14.295898	0.4272781	68.499435
14.395508	0.40828797	69.60894
14.495117	0.41778302	70.2976
14.594727	0.4272781	72.401833
14.694336	0.40828797	72.095757
14.793945	0.44626826	74.199989
14.893555	0.4272781	75.577309
14.993164	0.46525839	76.418999
15.092773	0.50323868	77.872833
15.192383	0.47475347	79.250153
15.291992	0.52222884	80.512688
15.391602	0.5602091	81.201347
15.491211	0.51273376	82.463882
15.59082	0.56970417	85.33329
15.69043	0.53172392	84.644638
15.790039	0.55071402	85.639366
15.889648	0.57919925	87.322746
15.989258	0.56970417	88.547028
16.088867	0.61717951	89.771309
16.188477	0.56970417	91.033852
16.288086	0.63616967	92.487686
16.387695	0.64566475	93.71196
16.487305	0.58869433	94.630173
16.586914	0.66465491	95.892715
16.686523	0.58869433	95.739677
16.786133	0.69314009	97.84391
16.885742	0.67414993	98.226494
16.985352	0.64566475	99.986404
17.084961	0.69314009	101.13416
17.18457	0.65515983	101.89934
17.28418	0.74061543	103.00884
17.383789	0.70263517	103.85053
17.483398	0.66465491	105.11308
17.583008	0.72162533	106.37562
17.682617	0.72162533	106.83472
17.782227	0.76910067	108.7094
17.881836	0.76910067	109.47457
17.981445	0.77859575	110.43105
18.081055	0.7975859	112.11443
18.180664	0.77859575	112.45876
18.280273	0.82607108	114.3717
18.379883	0.7975859	114.90732
18.479492	0.80708092	116.28464
18.579102	0.82607108	118.12106
18.678711	0.8830415	118.27409
18.77832	0.816576	118.88623
18.87793	0.83556616	120.91395
18.977539	0.8640514	121.71738
19.077148	0.89253658	123.5538
19.176758	0.91152674	124.43375
19.276367	0.92102182	125.42848
19.375977	0.92102182	126.42321
