Sec	mm	kN
5.1337891	-0.51273388	-56.444435
5.2333984	-0.53172398	-55.109253
5.3330078	-0.42727822	-54.422585
5.4326172	-0.51273388	-53.583328
5.5322266	-0.4367733	-52.591476
5.6318359	-0.45576343	-52.171844
5.7314453	-0.42727822	-50.607773
5.8310547	-0.41778314	-49.501476
5.9306641	-0.41778314	-48.662216
6.0302734	-0.44626835	-47.82296
6.1298828	-0.4367733	-46.602219
6.2294922	-0.37980285	-45.801105
6.3291016	-0.4367733	-44.542217
6.4287109	-0.41778314	-43.855553
6.5283203	-0.39879301	-42.48222
6.6279297	-0.35131764	-40.727406
6.7275391	-0.3703078	-40.536663
6.8271484	-0.35131764	-39.39222
6.9267578	-0.35131764	-38.285923
7.0263672	-0.3703078	-37.561108
7.1259766	-0.29434723	-35.920738
7.2255859	-0.28485215	-35.768147
7.3251953	-0.30384231	-34.204075
7.4248047	-0.30384231	-33.784443
7.5244141	-0.23737679	-32.487408
7.6240234	-0.24687186	-31.457407
7.7236328	-0.26586202	-30.770741
7.8232422	-0.19939651	-29.130371
7.9228516	-0.21838665	-28.481853
8.0224609	-0.26586202	-27.375557
8.1220703	-0.16141623	-26.26926
8.2216797	-0.19939651	-25.277409
8.3212891	-0.16141623	-24.171114
8.4208984	-0.16141623	-23.522594
8.5205078	-0.13293101	-22.416298
8.6201172	-0.16141623	-20.699633
8.7197266	-0.16141623	-20.203707
8.8193359	-0.12343594	-19.09741
8.9189453	-0.094950728	-18.10556
9.0185547	-0.12343594	-17.037411
9.1181641	-0.1044458	-15.931115
9.2177734	-0.085455656	-15.091857
9.3173828	-0.056970444	-13.718524
9.4169922	-0.12343594	-13.031857
9.5166016	-0.056970444	-12.078154
9.6162109	-0.085455656	-11.467784
9.7158203	-0.028485229	-10.51408
9.8154297	-0.018990159	-9.5603771
9.9150391	-0.018990159	-8.5303774
10.014648	-1.6345938e-08	-8.4159327
10.114258	0.0094950544	-7.4222002
10.213867	0.0094950544	-6.4657311
10.313477	0.028485198	-5.6622972
10.413086	0.0094950544	-4.8206043
10.512695	0.05697041	-3.9406526
10.612305	-1.6345938e-08	-2.6781132
10.711914	0.05697041	-2.2955256
10.811523	0.066465482	-1.6451266
10.911133	0.085455626	-0.99472761
11.010742	0.047475338	-0.11477596
11.110352	0.11394083	0.87995195
11.209961	0.066465482	1.2625396
11.30957	0.066465482	2.4485614
11.40918	0.047475338	3.2137368
11.508789	0.13293098	4.131947
11.608398	0.11394083	4.8588638
11.708008	0.15192112	5.3179688
11.807617	0.094950698	6.5805082
11.907227	0.18040633	7.4604597
12.006836	0.15192112	8.187376
12.106445	0.24687183	8.9142933
12.206055	0.17091127	10.023797
12.305664	0.18040633	11.248077
12.405273	0.17091127	11.898477
12.504883	0.16141619	13.122757
12.604492	0.21838662	14.500072
12.704102	0.27535704	15.073955
12.803711	0.17091127	16.183458
12.90332	0.30384225	16.757339
13.00293	0.27535704	17.637291
13.102539	0.28485212	18.823313
13.202148	0.32283241	20.697992
13.301758	0.30384225	21.233616
13.401367	0.30384225	22.190084
13.500977	0.31333733	23.26133
13.600586	0.32283241	24.52387
13.700195	0.36081269	25.480339
13.799805	0.35131761	26.513325
13.899414	0.33232749	27.584572
13.999023	0.35131761	28.808851
14.098633	0.35131761	29.382732
14.198242	0.3892979	30.645273
14.297852	0.39879298	31.869553
14.397461	0.35131761	32.558212
14.49707	0.43677324	33.935528
14.59668	0.39879298	34.73896
14.696289	0.46525848	36.307571
14.795898	0.44626832	38.029213
14.895508	0.41778311	38.4118
14.995117	0.44626832	38.985683
15.094727	0.49374369	40.171707
15.194336	0.43677324	42.046387
15.293945	0.51273382	43.653252
