Sec	mm	kN
17.878906	0.75011116	79.73127
17.978516	0.77859634	80.57296
18.078125	0.71213084	82.371124
18.177734	0.7975865	83.442368
18.277344	0.7975865	83.671921
18.376953	0.84506184	85.04924
18.476563	0.864052	86.388298
18.576172	0.7975865	87.459541
18.675781	0.80708158	88.454269
18.775391	0.87354708	89.372482
18.875	0.89253724	89.181183
18.974609	0.90203226	90.864571
19.074219	0.864052	91.629745
19.173828	0.85455692	91.89756
19.273438	0.91152734	92.433182
19.373047	0.90203226	92.892288
19.472656	0.92102242	93.963531
19.572266	0.93051749	94.460892
19.671875	0.92102242	95.073036
19.771484	0.88304216	95.952988
19.871094	1.0064781	96.335571
19.970703	0.96849775	96.029503
20.070313	0.97799283	96.832939
20.169922	1.0159731	97.598114
20.269531	0.98748791	97.674629
20.369141	1.0444584	98.40155
20.46875	1.0539534	99.511055
20.568359	1.0159731	99.664085
20.667969	1.0159731	100.08493
20.767578	1.0729436	100.54404
20.867188	1.0634484	101.15618
20.966797	1.1109239	102.11265
21.066406	1.0444584	102.11265
21.166016	1.0824386	102.87782
21.265625	1.0824386	103.18389
21.365234	1.1109239	103.60474
21.464844	1.1489041	103.56648
21.564453	1.1583992	104.40817
21.664063	1.1583992	104.98206
21.763672	1.1299139	104.21688
21.863281	1.1583992	105.63245
21.962891	1.1583992	105.93852
22.0625	1.1678942	106.09156
22.162109	1.1109239	106.20634
22.261719	1.2058746	106.97151
22.361328	1.2153696	106.47414
22.460938	1.2153696	107.50713
22.560547	1.3008252	108.0045
22.660156	1.1489041	108.04276
22.759766	1.2818351	108.04276
22.859375	1.2248647	108.69315
22.958984	1.2438549	109.19052
23.058594	1.2438549	109.19052
23.158203	1.2438549	109.19052
23.257813	1.3293105	109.34355
23.357422	1.2818351	109.45833
23.457031	1.3293105	110.18525
23.556641	1.3103204	110.03221
23.65625	1.3577957	110.30003
23.755859	1.3483006	110.79739
23.855469	1.3483006	110.98869
23.955078	1.3293105	111.33301
24.054688	1.395776	111.67734
24.154297	1.3293105	111.25649
24.253906	1.395776	111.40953
24.353516	1.4052711	111.44778
24.453125	1.4242612	112.366
24.552734	1.4717366	112.17471
24.652344	1.4242612	112.25122
24.751953	1.4337562	112.51904
24.851563	1.5002217	112.78684
24.951172	1.4812316	113.24595
25.050781	1.4622415	112.97813
25.150391	1.4717366	113.78157
25.25	1.4622415	114.7763
25.349609	1.5761824	114.35545
25.449219	1.5571922	114.54675
25.548828	1.5192119	115.618
25.648438	1.528707	114.85281
25.748047	1.5571922	115.4267
25.847656	1.5476971	115.46496
25.947266	1.538202	116.26839
26.046875	1.5476971	116.34491
26.146484	1.5951725	116.68924
26.246094	1.6141626	117.22486
26.345703	1.6521429	117.03357
26.445313	1.6236577	117.1866
26.544922	1.6806281	117.72222
26.644531	1.6521429	118.06655
26.744141	1.6331527	118.14307
26.84375	1.661638	118.64043
26.943359	1.671133	118.33437
27.042969	1.7091134	118.71695
27.142578	1.6521429	119.94123
27.242188	1.7091134	118.71695
27.341797	1.7091134	119.36736
27.441406	1.661638	120.28556
27.541016	1.7470936	119.90298
27.640625	1.7470936	120.70641
27.740234	1.7375985	120.55338
27.839844	1.7565887	120.97422
27.939453	1.7660837	121.50984
28.039063	1.7660837	121.66288
28.138672	1.7660837	121.93069
28.238281	1.7755789	121.96895
28.337891	1.7850739	122.88716
28.4375	1.8230542	122.16024
28.537109	1.8515394	123.04019
28.636719	1.8610345	123.15497
28.736328	1.8705295	123.04019
28.835938	1.8610345	123.57581
28.935547	1.8705295	124.41751
29.035156	1.8800246	123.9584
29.134766	1.8610345	124.64706
29.234375	1.8990147	124.83836
29.333984	1.8610345	125.41224
29.433594	1.936995	125.64179
29.533203	1.94649	125.52702
29.632813	1.8990147	125.41224
29.732422	1.9180049	126.25393
29.832031	1.9559852	126.63652
29.931641	1.94649	126.52174
30.03125	1.9749753	127.32517
30.130859	2.0224507	127.4017
0.15136719	2.0129557	118.0283
0.25097656	1.9939655	117.49268
0.35058594	1.9939655	115.2354
0.45019531	1.94649	114.24068
0.54980469	1.9749753	114.08764
0.64941406	1.94649	111.29475
0.74902344	1.9559852	110.18525
0.84863281	1.9749753	109.19052
0.94824219	1.8990147	106.47414
1.0478516	1.936995	105.05857
1.1474609	1.8990147	103.71951
1.2470703	1.9085099	102.72478
1.3466797	1.8610345	101.2327
1.4462891	1.9085099	99.281502
1.5458984	1.8800246	97.559853
1.6455078	1.8990147	96.756424
1.7451172	1.804064	94.690445
1.8447266	1.8230542	93.313133
1.9443359	1.8515394	91.514969
2.0439453	1.8610345	90.328949
2.1435547	1.8325492	89.640289
2.2431641	1.8610345	88.033424
2.3427734	1.7660837	85.929192
2.4423828	1.7660837	85.317047
2.5419922	1.7850739	82.906746
2.6416016	1.7565887	82.10331
2.7412109	1.7470936	80.725998
2.8408203	1.7850739	79.769531
2.9404297	1.7186084	77.473999
3.0400391	1.7470936	76.747086
3.1396484	1.7186084	75.637581
3.2392578	1.7470936	73.954193
3.3388672	1.6806281	75.140221
3.4384766	1.6236577	73.915939
3.5380859	1.671133	72.806435
3.6376953	1.6331527	71.00827
3.7373047	1.6521429	70.51091
3.8369141	1.6426479	68.215378
3.9365234	1.6236577	66.723289
4.0361328	1.6236577	65.996376
4.1357422	1.5856774	63.930401
4.2353516	1.5856774	62.514824
4.3349609	1.6141626	62.055721
4.4345703	1.5951725	60.907955
4.5341797	1.5761824	59.53064
4.6337891	1.5856774	58.34462
4.7333984	1.528707	56.852528
4.8330078	1.528707	56.010834
4.9326172	1.4812316	54.212673
5.0322266	1.5002217	53.715309
5.1318359	1.4812316	51.955406
5.2314453	1.4907267	50.884159
5.3310547	1.5002217	49.736397
5.4306641	1.4527464	49.392067
5.5302734	1.4812316	47.632164
5.6298828	1.4527464	46.446144
5.7294922	1.4052711	44.877533
5.8291016	1.3767859	43.844547
5.9287109	1.4432514	42.696785
6.0283203	1.4527464	41.051655
6.1279297	1.4432514	40.669067
6.2275391	1.3862809	39.215237
6.3271484	1.395776	38.067474
6.4267578	1.3767859	36.231052
6.5263672	1.4242612	35.427616
6.6259766	1.3767859	33.935528
6.7255859	1.3483006	33.667713
6.8251953	1.3388056	32.175621
6.9248047	1.3483006	30.951342
7.0244141	1.3483006	28.961885
7.1240234	1.3103204	28.54104
7.2236328	1.2723401	27.508053
7.3232422	1.2723401	25.939444
7.4228516	1.2438549	25.059492
7.5224609	1.3008252	24.141281
7.6220703	1.2248647	22.610931
