Sec	mm	kN							
11.994141	-0.15192179	-44.041885							
12.09375	-0.180407	-44.99559							
12.193359	-0.18990208	-46.63596							
12.292969	-0.180407	-47.551514							
12.392578	-0.17091194	-47.589664							
12.492188	-0.19939715	-49.420773							
12.591797	-0.19939715	-49.878551							
12.691406	-0.21838729	-50.527069							
12.791016	-0.19939715	-52.281883							
12.890625	-0.2468725	-53.235588							
12.990234	-0.2468725	-54.151142							
13.089844	-0.19939715	-54.79966							
13.189453	-0.30384293	-55.791512							
13.289063	-0.34182322	-57.584476							
13.388672	-0.30384293	-57.470032							
13.488281	-0.34182322	-58.843365							
13.587891	-0.34182322	-59.758919							
13.6875	-0.30384293	-60.521881							
13.787109	-0.31333801	-61.475586							
13.886719	-0.36081335	-62.810772							
13.986328	-0.40828872	-63.917065							
14.085938	-0.3513183	-64.107803							
14.185547	-0.37980351	-65.671883							
14.285156	-0.40828872	-66.549286							
14.384766	-0.37030843	-66.396698							
14.484375	-0.44626901	-68.342247							
14.583984	-0.44626901	-68.914474							
14.683594	-0.4177838	-69.372253							
14.783203	-0.38929856	-70.364098							
14.882813	-0.42727885	-71.546692							
14.982422	-0.42727885	-72.042618							
15.082031	-0.44626901	-73.530396							
15.181641	-0.47475421	-74.14077							
15.28125	-0.51273447	-74.865578							
15.380859	-0.43677393	-75.05632							
15.480469	-0.57919997	-76.772987							
15.580078	-0.56020987	-76.73484							
15.679688	-0.55071479	-77.268913							
15.779297	-0.50323945	-78.680397							
15.878906	-0.55071479	-79.634102							
15.978516	-0.52222955	-80.549652							
16.078125	-0.56970495	-80.931137							
16.177734	-0.57919997	-82.075577							
16.277344	-0.66465563	-82.533356							
16.376953	-0.57919997	-82.724098							
16.476563	-0.62667537	-84.440765							
16.576172	-0.59819013	-84.707802							
16.675781	-0.60768521	-85.356316							
16.775391	-0.58869505	-85.585205							
16.875	-0.69314086	-86.996689							
16.974609	-0.69314086	-87.759651							
17.074219	-0.62667537	-87.568909							
17.173828	-0.70263594	-89.132988							
17.273438	-0.68364578	-89.514465							
17.373047	-0.71213096	-89.667061							
17.472656	-0.7406162	-90.773354							
17.572266	-0.70263594	-91.04039							
17.671875	-0.69314086	-91.574463							
17.771484	-0.72162604	-92.680763							
17.871094	-0.75960636	-93.52002							
17.970703	-0.71213096	-94.244835							
18.070313	-0.75011128	-94.473724							
18.169922	-0.79758662	-95.160393							
